日にち,ID,スライド番号,回答,正誤,反応時間,トータル
2022.7.13,n22m306,1,B,T,0.375,0.375
2022.7.13,n22m306,2,A,T,0.426,0.801
2022.7.13,n22m306,3,A,T,0.645,1.446
途中中断,6
